Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,"WHO Region",NewCases,CaseFatalityRate
"New South Wales",Australia,-33.8688,151.209,2020/02/13,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/14,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/14,5,0,0,5,"Western Pacific",5,0
Victoria,Australia,-37.8136,144.963,2020/02/14,4,0,4,0,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/14,4,0,4,0,"Western Pacific",0,0
Queensland,Australia,-27.4698,153.025,2020/02/14,5,0,0,5,"Western Pacific",5,0
Victoria,Australia,-37.8136,144.963,2020/02/14,4,0,4,0,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/14,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/14,2,0,0,2,"Western Pacific",-2,0
Victoria,Australia,-37.8136,144.963,2020/02/15,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/15,2,0,0,2,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/15,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/15,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/15,2,0,0,2,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/15,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/15,5,0,0,5,"Western Pacific",5,0
"New South Wales",Australia,-33.8688,151.209,2020/02/15,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/16,2,0,0,2,"Western Pacific",-2,0
"New South Wales",Australia,-33.8688,151.209,2020/02/16,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/16,5,0,0,5,"Western Pacific",5,0
Victoria,Australia,-37.8136,144.963,2020/02/16,4,0,4,0,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/16,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/16,5,0,0,5,"Western Pacific",1,0
"New South Wales",Australia,-33.8688,151.209,2020/02/16,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/16,2,0,0,2,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/17,4,0,4,0,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/17,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/17,5,0,0,5,"Western Pacific",1,0
"South Australia",Australia,-34.9285,138.601,2020/02/17,2,0,2,0,"Western Pacific",2,0
"South Australia",Australia,-34.9285,138.601,2020/02/17,2,0,2,0,"Western Pacific",2,0
"New South Wales",Australia,-33.8688,151.209,2020/02/17,4,0,4,0,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/17,4,0,4,0,"Western Pacific",0,0
Queensland,Australia,-27.4698,153.025,2020/02/17,5,0,0,5,"Western Pacific",5,0
Victoria,Australia,-37.8136,144.963,2020/02/18,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/18,2,0,2,0,"Western Pacific",-2,0
Queensland,Australia,-27.4698,153.025,2020/02/18,5,0,0,5,"Western Pacific",5,0
"New South Wales",Australia,-33.8688,151.209,2020/02/18,4,0,4,0,"Western Pacific",-1,0
Victoria,Australia,-37.8136,144.963,2020/02/18,4,0,4,0,"Western Pacific",0,0
"South Australia",Australia,-34.9285,138.601,2020/02/18,2,0,2,0,"Western Pacific",-2,0
Queensland,Australia,-27.4698,153.025,2020/02/18,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/18,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/19,2,0,2,0,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/19,5,0,0,5,"Western Pacific",3,0
"New South Wales",Australia,-33.8688,151.209,2020/02/19,4,0,4,0,"Western Pacific",4,0
Victoria,Australia,-37.8136,144.963,2020/02/19,4,0,4,0,"Western Pacific",4,0
"South Australia",Australia,-34.9285,138.601,2020/02/19,2,0,2,0,"Western Pacific",-2,0
Victoria,Australia,-37.8136,144.963,2020/02/19,4,0,4,0,"Western Pacific",4,0
"New South Wales",Australia,-33.8688,151.209,2020/02/19,4,0,4,0,"Western Pacific",4,0
Queensland,Australia,-27.4698,153.025,2020/02/19,5,0,0,5,"Western Pacific",5,0
"New South Wales",Australia,-33.8688,151.209,2020/02/20,4,0,4,0,"Western Pacific",-1,0
Queensland,Australia,-27.4698,153.025,2020/02/20,5,0,0,5,"Western Pacific",5,0
"South Australia",Australia,-34.9285,138.601,2020/02/20,2,0,2,0,"Western Pacific",-3,0
Victoria,Australia,-37.8136,144.963,2020/02/20,4,0,4,0,"Western Pacific",2,0
"South Australia",Australia,-34.9285,138.601,2020/02/20,2,0,2,0,"Western Pacific",2,0
Victoria,Australia,-37.8136,144.963,2020/02/20,4,0,4,0,"Western Pacific",2,0
Queensland,Australia,-27.4698,153.025,2020/02/20,5,0,0,5,"Western Pacific",5,0
"New South Wales",Australia,-33.8688,151.209,2020/02/20,4,0,4,0,"Western Pacific",4,0
